Date,RAY,VIX,QQQ,T10Y3M,CL1,HG1,GC1,XAG,VNQ,EURtoUSD,VXUS,EEM
1990-05-17,,16.276911578212733,,,,,,,,,,
1990-05-18,,16.22047203647684,,,,,,,,,,
1990-05-21,,15.749591994062273,,,,,,,,,,
1990-05-22,,16.881032274120574,,,,,,,,,,
1990-05-23,,16.217503573453357,,,,,,,,,,
1990-05-24,,16.7447613268481,,,,,,,,,,
1990-05-25,,16.36437855892675,,,,,,,,,,
1990-05-28,,16.369334160903204,,,,,,,,,,
1990-05-29,,17.80319485881595,,,,,,,,,,
1990-05-30,,16.4823711981052,,,,,,,,,,
1990-05-31,,16.421330984718075,,,,,,,,,,
1990-06-01,,16.146524053364985,,,,,,,,,,
1990-06-04,,17.453001329197406,,,,,,,,,,
1990-06-05,,18.02424000134399,,,,,,,,,,
1990-06-06,,16.46582589955848,,,,,,,,,,
1990-06-07,,15.937336953784815,,,,,,,,,,
1990-06-08,,16.648213815347063,,,,,,,,,,
1990-06-11,,15.407697068647785,,,,,,,,,,
1990-06-12,,15.681529093804361,,,,,,,,,,
1990-06-13,,16.466814317201198,,,,,,,,,,
1990-06-14,,16.483668285948504,,,,,,,,,,
1990-06-15,,14.983458946490313,,,,,,,,,,
1990-06-18,,16.809164100487322,,,,,,,,,,
1990-06-19,,14.31949707217914,,,,,,,,,,
1990-06-20,,14.381447051518428,,,,,,,,,,
1990-06-21,,13.842329002715017,,,,,,,,,,
1990-06-22,,18.495524626730848,,,,,,,,,,
1990-06-25,,16.15791058699985,,,,,,,,,,
1990-06-26,,15.394845822085163,,,,,,,,,,
1990-06-27,,15.11456090686186,,,,,,,,,,
1990-06-28,,15.302494452148668,,,,,,,,,,
1990-06-29,,14.625562677917419,,,,,,,,,,
1990-07-02,,15.394962841191001,,,,,,,,,,
1990-07-03,,15.2431152282804,,,,,,,,,,
1990-07-04,,15.245230379057963,,,,,,,,,,
1990-07-05,,16.387303404449927,,,,,,,,,,
1990-07-06,,15.537982497100646,,,,,,,,,,
1990-07-09,,15.792595182442213,,,,,,,,,,
1990-07-10,,16.052396014427735,,,,,,,,,,
1990-07-11,,15.810315969919754,,,,,,,,,,
1990-07-12,,16.19208036067761,,,,,,,,,,
1990-07-13,,16.219302559847446,,,,,,,,,,
1990-07-16,,15.87801007770729,,,,,,,,,,
1990-07-17,,15.790812533586037,,,,,,,,,,
1990-07-18,,18.03321824713306,,,,,,,,,,
1990-07-19,,17.67226395710533,,,,,,,,,,
1990-07-20,,14.735583267229174,,,,,,,,,,
1990-07-23,,22.81013354585076,,,,,,,,,,
1990-07-24,,20.850644767170646,,,,,,,,,,
1990-07-25,,19.236572955856385,,,,,,,,,,
1990-07-26,,19.310566370120032,,,,,,,,,,
1990-07-27,,20.168095304161334,,,,,,,,,,
1990-07-30,,20.196375613393315,,,,,,,,,,
1990-07-31,,20.138526386229394,,,,,,,,,,
1990-08-01,,20.66307734022255,,,,,,,,,,
1990-08-02,,19.44315744761367,,,,,,,,,,
1990-08-03,,27.75870837447605,,,,,,,,,,
1990-08-06,,34.84664773696232,,,,,,,,,,
1990-08-07,,31.57341401880295,,,,,,,,,,
1990-08-08,,27.061309613707817,,,,,,,,,,
1990-08-09,,23.196849089929486,,,,,,,,,,
1990-08-10,1.6427908648411065,24.593177610381385,,,,,,,,,,
1990-08-13,4.357170782404468,24.582383642971237,,,,,,,,,,
1990-08-14,4.270248121468935,23.021271204711958,,,,,,,,,,
1990-08-15,4.595278295588581,22.164978347628544,,,,,,,,,,
1990-08-16,0.1940956758205193,26.02867241758112,,,,,,,,,,
1990-08-17,-0.21759634978226164,26.366734279241047,,,,,,,,,,
1990-08-20,1.8149903690674996,25.277590222409465,,,,,,,,,,
1990-08-21,-1.1595974046630877,27.715962774160737,,,,,,,,,,
1990-08-22,-1.5948247170033394,29.337475366489205,,,,,,,,,,
1990-08-23,-4.798283972187183,35.22458781882526,,,,,,,,,,
1990-08-24,1.5548060947089506,32.60467465208432,,,,,,,,,,
1990-08-27,6.756605570836307,28.28525252525352,,,,,,,,,,
1990-08-28,4.033199768674786,27.79866050464965,,,,,,,,,,
1990-08-29,4.971084207182425,26.068041805982805,,,,,,,,,,
1990-08-30,1.5926968722220727,28.597170959491713,,,,,,,,,,
1990-08-31,4.54614520616535,28.5898948628046,,,,,,,,,,
1990-09-03,3.806854049206889,28.581042983162977,,,,,,,,,,
1990-09-04,3.9171331091149786,28.254466781255243,,,,,,,,,,
1990-09-05,4.548140788745996,27.192109644726727,,,,,,,,,,
1990-09-06,2.2205752279936277,28.869036941489238,,,,,,,,,,
1990-09-07,4.741676806482454,27.393673516875772,,,,,,,,,,
1990-09-10,3.3890574829476483,28.009545955147416,,,,,,,,,,
1990-09-11,3.4152970925234665,27.044125130037887,,,,,,,,,,
1990-09-12,4.2489086332944686,26.789652584172966,,,,,,,,,,
1990-09-13,1.9994120609510628,28.00322190482589,,,,,,,,,,
1990-09-14,2.0452743618620404,29.222062092579826,,,,,,,,,,
1990-09-17,3.2796130519984366,28.19347243629448,,,,,,,,,,
1990-09-18,3.57802913658469,27.46258163533829,,,,,,,,,,
1990-09-19,2.587516530246837,26.52663645333236,,,,,,,,,,
1990-09-20,0.4122755823094441,27.316206109241097,,,,,,,,,,
1990-09-21,1.8943345416907817,28.69205535652586,,,,,,,,,,
1990-09-24,-1.2785156580505472,29.195961239319896,,,,,,,,,,
1990-09-25,2.980509644712056,27.432020688772294,,,,,,,,,,
1990-09-26,0.8101386099712545,26.820581348575896,,,,,,,,,,
